H-107,H-108,H-109,H-110,H-111,IM-206,IM-208,IM-209,IM-210,UM-204,UM-208,UM-213,UM-214,UM-215
1067.4582339371245,1510.1814717770758,868.6668249919655,642.1238063313765,928.1724801878566,430.46620532108767,471.1791593663742,360.1116772087869,359.1930876705245,13.545662010231856,13.79530177417114,28.93702013770958,17.289244881501208,15.902474718638697
141.93350478942375,126.34197933821288,116.54742732450343,127.83700492180722,183.8552516666042,9.167721700933136,12.666106434579952,49.78502449891062,25.656649119323177,73.26971723716322,47.65649703804576,46.954410034774035,53.96340069074619,53.53833155275028
14.784740082231641,3.9481868543191525,0,0,20.757850994616604,21.252445761254087,0,0,0,17.85564537712381,11.287065087958204,10.373648728612869,12.573996277455423,20.673217134230306
1553.8761826425455,975.2021530168307,865.5588935966455,1748.5751247925355,1951.2379934939606,223.77575242732243,309.0529970037508,38.16851878249815,301.9590242504959,190.25498005280198,169.9330354909263,157.78865697732206,179.17944695373978,347.73411384756616
19.22016210690113,17.766840844436185,12.431725581280366,20.57147205638277,20.757850994616604,0,2.5332212869159902,0,0,2.4628476382239737,1.2541183431064673,0.5459815120322563,0,4.240659924970319
356.3122359817825,0,0,248.32705553776344,174.95902981176852,823.8448092156731,825.8301395346128,250.5846233111835,607.8652252885798,333.10014306979247,502.27439641414014,355.4339643329988,473.0966099392603,383.7797232098139
6261.3374248251,4181.129878723983,0,2530.291062935081,0,11244.21066619449,4397.672154086159,0,4665.56296292923,48.02552894536749,1118.6735620509687,38.764687354290196,9.95441371965221,660.4827833141272
0,0,0,0,0,236.27719111041307,151.99327721495942,152.6740751299926,84.8643009331459,41.252697940251565,60.82473964066366,33.85085374599989,20.432743950865063,23.323629587336757
0,0,0,0,0,0,0,0,0,509.80946111236256,652.1415384153629,699.9482984253525,913.1864796502001,633.4485762924414
0,211.22799670607466,376.0596988337311,0,0,0,0,0,0,1307.156383987374,1558.2420413097855,1310.9016103894473,1429.244243537433,1648.5565458322117
0,0,0,0,0,0,390.1160781850625,258.88212739433527,947.3224290211634,738.8542914671922,1421.5431419111806,1275.958793619383,1164.142488687748,1436.5235495836957
0,0,0,0,0,0,0,0,0,38.78985030202759,20.692952661256708,17.471408385032202,15.193578835258636,15.902474718638697
0,0,0,0,0,497.14054496423773,0,0,0,613.2490619177695,1462.3019880621407,290.46216440116035,196.468691835241,282.00388501052623
0,0,0,0,0,16.25187028801783,7.599663860747971,4.978502449891063,0,11.698526281563876,35.11531360698108,8.189722680483843,12.05007976589478,9.01140234056193
1870.2696204023025,542.8756924688835,0,2176.167865393063,486.32679473101757,5011.826768051037,3095.5964126113404,1310.1758947296646,4537.279717332614,901.4022355899745,1118.6735620509687,590.7519960189013,441.66161924562175,544.3947178680647
2.956948016446328,0,0,0,0,0,2.5332212869159902,0,0,0,3.135295857766168,0.5459815120322563,0.5239165115606427,0
