"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0046246","terpene biosynthetic process",23,-0.686097145704908,-1.48791255621111,0.00215232158540108,0.0145006239234871,0.0101217494352075,1922,"tags=30%, list=10%, signal=28%","837626/820185/821181/819647/836289/835806/827061"
"GO:0019740","nitrogen utilization",12,-0.77799997165949,-1.53822731789815,0.00218222657122442,0.0146024245816848,0.0101928084986004,1519,"tags=42%, list=8%, signal=39%","828213/838057/836550/830292/833535"
"GO:0141067","intracellular nitrogen homeostasis",12,-0.77799997165949,-1.53822731789815,0.00218222657122442,0.0146024245816848,0.0101928084986004,1519,"tags=42%, list=8%, signal=39%","828213/838057/836550/830292/833535"
"GO:0010117","photoprotection",13,-0.775894649115158,-1.5599999834048,0.00223773024567287,0.0149232415708049,0.0104167457026522,2105,"tags=46%, list=11%, signal=41%","843890/843028/832346/823942/815111/826470"
"GO:0051493","regulation of cytoskeleton organization",55,-0.601284047211991,-1.39166162359609,0.00227995401114213,0.0151536337306214,0.0105775644181643,5781,"tags=51%, list=29%, signal=36%","825237/819077/826806/829016/823923/831404/828385/819697/839140/836862/836370/825902/823959/843509/830483/816795/839791/831607/821783/829750/816290/843917/819717/827328/822136/838598/821339/835616"
"GO:0009240","isopentenyl diphosphate biosynthetic process",17,-0.73226497165468,-1.53746483589555,0.00229723412319208,0.0151663550474286,0.0105864441727105,3979,"tags=47%, list=20%, signal=38%","824592/832804/814779/823899/821181/836400/836181/827230"
"GO:0046490","isopentenyl diphosphate metabolic process",17,-0.73226497165468,-1.53746483589555,0.00229723412319208,0.0151663550474286,0.0105864441727105,3979,"tags=47%, list=20%, signal=38%","824592/832804/814779/823899/821181/836400/836181/827230"
"GO:0006694","steroid biosynthetic process",44,-0.620659974733424,-1.42121417969042,0.00240804205430388,0.0158449167173195,0.0110600949090659,4806,"tags=43%, list=24%, signal=33%","820582/832481/823632/819146/829617/828374/834284/835105/824460/824229/843941/820679/826819/837254/844185/831216/838621/830453/821519"
"GO:1902326","positive regulation of chlorophyll biosynthetic process",10,-0.814706137894484,-1.57396998119702,0.00243654008260761,0.0159766805351685,0.0111520689065939,2993,"tags=70%, list=15%, signal=60%","5007676/824885/835788/824690/834085/827479/834757"
"GO:0097164","ammonium ion metabolic process",20,-0.720387160578328,-1.54695162370414,0.00244425406363774,0.0159766805351685,0.0111520689065939,3125,"tags=35%, list=16%, signal=30%","818078/834085/818104/835168/840141/829438/829949"
"GO:0072523","purine-containing compound catabolic process",66,-0.583935893250546,-1.3629792800821,0.00253945554671214,0.0165441757399662,0.0115481928457398,4929,"tags=36%, list=25%, signal=27%","843741/824599/838822/829420/844291/843207/834634/832004/834380/840138/816505/828758/830758/827413/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0070475","rRNA base methylation",15,-0.750867463008051,-1.54836331625899,0.00262818233499473,0.0170658945042092,0.0119123638383245,4426,"tags=60%, list=22%, signal=47%","841424/816642/830927/824867/841872/822476/842318/830958/818550"
"GO:0140053","mitochondrial gene expression",57,-0.602018231077233,-1.39404566907305,0.00265067064434142,0.0171554880391146,0.0119749020653768,6553,"tags=51%, list=33%, signal=34%","837065/837298/820846/836261/842592/28719435/814746/817349/836553/829193/837784/828915/839880/824042/837825/825134/826707/827241/827696/828169/835506/817747/830147/829428/837734/821181/829791/834962/829027"
"GO:0000082","G1/S transition of mitotic cell cycle",36,-0.640894279196698,-1.44882072463826,0.00269107720904175,0.0172473584761312,0.0120390296193973,6135,"tags=69%, list=31%, signal=48%","824036/831847/824169/829904/818444/820325/836667/828000/824585/829714/844377/838687/841014/838650/843964/834324/817217/830502/843987/838127/841124/829564/841126/836861/843357"
"GO:1901987","regulation of cell cycle phase transition",69,-0.576965703792472,-1.3490949383528,0.00268774236094841,0.0172473584761312,0.0120390296193973,7454,"tags=65%, list=37%, signal=41%","834601/841166/838899/827121/837238/831001/828573/818636/836434/841684/830434/824036/841414/843506/836489/835372/827497/819713/818444/817921/824636/843272/839453/816591/844410/824585/844377/838687/826875/821018/844213/817684/822195/823970/817518/833791/844108/843987/821496/814812/838127/841471/837997/842992/821545"
"GO:0010608","post-transcriptional regulation of gene expression",172,-0.518982847464684,-1.24050274213889,0.00268237224634112,0.0172473584761312,0.0120390296193973,3209,"tags=22%, list=16%, signal=19%","824886/836463/838495/827036/837047/817747/829965/821078/824637/816411/841997/828163/827333/829314/820478/826931/820198/834934/843502/819897/834701/829461/823551/829635/820961/821584/838388/822081/830766/817131/825489/832520/844199/828579/837455/824514/831910/838622"
"GO:0045727","positive regulation of translation",15,-0.750403037497179,-1.54740562470942,0.00270843064173558,0.0173024015753593,0.0120774508943344,1912,"tags=40%, list=10%, signal=36%","827333/843502/834701/830766/825489/837455"
"GO:0010374","stomatal complex development",77,-0.575355487551772,-1.35084330390697,0.00272208927157669,0.0173335620067496,0.0120992015500641,6671,"tags=58%, list=33%, signal=39%","3769880/829309/836344/830956/824036/839287/836209/824169/816621/818385/818444/836667/835402/836685/824585/844377/830895/843899/829937/839108/838606/816164/844348/821847/839662/830609/822000/814812/825338/838127/827132/835319/829564/826909/830445/837997/835641/836861/843999/821849/837843/840218/817173/843377/821134"
"GO:0009142","nucleoside triphosphate biosynthetic process",27,-0.666405800705474,-1.47737808285802,0.00283568749469543,0.0179988653200282,0.0125635976664624,2312,"tags=48%, list=12%, signal=43%","820447/841590/838204/816487/816715/827987/826702/834749/836451/826515/829359/826551/825797"
"GO:0006515","protein quality control for misfolded or incompletely synthesized proteins",13,-0.767672162045559,-1.54346799712709,0.00293572059168191,0.0185740783589105,0.0129651088208894,1342,"tags=38%, list=7%, signal=36%","840099/835281/837719/834575/839433"
"GO:2000030","regulation of response to red or far red light",49,-0.603655219615487,-1.39024779363527,0.00306767215295095,0.0193469163895373,0.0135045664981093,4877,"tags=37%, list=24%, signal=28%","842538/830543/838421/836463/841922/817696/836466/816538/843330/822525/837417/818029/828839/827568/817016/837113/826470/844173"
"GO:0006721","terpenoid metabolic process",155,-0.520553043164176,-1.24215015318709,0.00320034002961064,0.0201193350906096,0.0140437314742217,3519,"tags=34%, list=18%, signal=28%","836690/829617/842775/834570/844237/835334/820667/824885/839703/836666/827430/831009/819424/844284/829413/817805/816538/829435/837236/814962/843028/837193/836367/817234/824479/842152/830751/816722/820185/842700/821181/5007993/834828/819647/840067/827908/836289/835806/837377/827061/842776/837610/814873/836400/827479/841670/834757/831587/836181/836838/827230/837953"
"GO:1902373","negative regulation of mRNA catabolic process",13,-0.765196716915535,-1.53849091117069,0.00322312932059163,0.0201343584773667,0.0140542181234325,2203,"tags=31%, list=11%, signal=27%","816411/841997/829635/824514"
"GO:1903312","negative regulation of mRNA metabolic process",13,-0.765196716915535,-1.53849091117069,0.00322312932059163,0.0201343584773667,0.0140542181234325,2203,"tags=31%, list=11%, signal=27%","816411/841997/829635/824514"
"GO:0009134","nucleoside diphosphate catabolic process",53,-0.593623197666528,-1.37092266784879,0.00325032608658012,0.0202402009303128,0.0141280984470642,4929,"tags=38%, list=25%, signal=28%","843741/824599/838822/829420/844291/840138/816505/828758/837986/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
"GO:0048598","embryonic morphogenesis",30,-0.662728143373527,-1.48077839711542,0.00327895636605963,0.0203542763100682,0.0142077255318506,5873,"tags=70%, list=29%, signal=49%","842341/839401/817788/827760/843693/830889/820060/828569/828230/816640/814714/843393/832093/837048/834197/818173/3768574/827588/820732/838363/823827"
"GO:0007155","cell adhesion",17,-0.722966267104637,-1.51794125929626,0.00333596136234783,0.020643221721864,0.0144094156849144,2132,"tags=29%, list=11%, signal=26%","823808/817818/834269/817173/820980"
"GO:0042743","hydrogen peroxide metabolic process",44,-0.614188891211085,-1.40639641145289,0.00337870902358009,0.0208424112892097,0.0145484543153498,2891,"tags=39%, list=15%, signal=33%","829366/820632/821203/819419/831532/829652/844085/824462/818766/830517/826470/838544/826480/820664/820335/820665/841883"
